district_id,state,state_po,district
AL-02,ALABAMA,AL,2
AL-03,ALABAMA,AL,3
AL-04,ALABAMA,AL,4
AL-05,ALABAMA,AL,5
AL-06,ALABAMA,AL,6
AL-07,ALABAMA,AL,7
AZ-01,ARIZONA,AZ,1
AZ-02,ARIZONA,AZ,2
AZ-03,ARIZONA,AZ,3
AZ-04,ARIZONA,AZ,4
AZ-05,ARIZONA,AZ,5
AZ-06,ARIZONA,AZ,6
AZ-08,ARIZONA,AZ,8
AZ-09,ARIZONA,AZ,9
AR-01,ARKANSAS,AR,1
AR-02,ARKANSAS,AR,2
AR-04,ARKANSAS,AR,4
CA-01,CALIFORNIA,CA,1
CA-02,CALIFORNIA,CA,2
CA-03,CALIFORNIA,CA,3
CA-04,CALIFORNIA,CA,4
CA-05,CALIFORNIA,CA,5
CA-06,CALIFORNIA,CA,6
CA-07,CALIFORNIA,CA,7
CA-09,CALIFORNIA,CA,9
CA-10,CALIFORNIA,CA,10
CA-11,CALIFORNIA,CA,11
CA-12,CALIFORNIA,CA,12
CA-14,CALIFORNIA,CA,14
CA-16,CALIFORNIA,CA,16
CA-17,CALIFORNIA,CA,17
CA-18,CALIFORNIA,CA,18
CA-19,CALIFORNIA,CA,19
CA-20,CALIFORNIA,CA,20
CA-21,CALIFORNIA,CA,21
CA-22,CALIFORNIA,CA,22
CA-24,CALIFORNIA,CA,24
CA-25,CALIFORNIA,CA,25
CA-26,CALIFORNIA,CA,26
CA-27,CALIFORNIA,CA,27
CA-28,CALIFORNIA,CA,28
CA-32,CALIFORNIA,CA,32
CA-34,CALIFORNIA,CA,34
CA-36,CALIFORNIA,CA,36
CA-37,CALIFORNIA,CA,37
CA-38,CALIFORNIA,CA,38
CA-39,CALIFORNIA,CA,39
CA-41,CALIFORNIA,CA,41
CA-42,CALIFORNIA,CA,42
CA-45,CALIFORNIA,CA,45
CA-46,CALIFORNIA,CA,46
CA-47,CALIFORNIA,CA,47
CA-48,CALIFORNIA,CA,48
CA-49,CALIFORNIA,CA,49
CA-50,CALIFORNIA,CA,50
CA-51,CALIFORNIA,CA,51
CA-52,CALIFORNIA,CA,52
CA-53,CALIFORNIA,CA,53
CO-01,COLORADO,CO,1
CO-02,COLORADO,CO,2
CO-03,COLORADO,CO,3
CO-04,COLORADO,CO,4
CO-06,COLORADO,CO,6
CO-07,COLORADO,CO,7
CT-01,CONNECTICUT,CT,1
CT-02,CONNECTICUT,CT,2
CT-03,CONNECTICUT,CT,3
CT-04,CONNECTICUT,CT,4
CT-05,CONNECTICUT,CT,5
FL-01,FLORIDA,FL,1
FL-02,FLORIDA,FL,2
FL-03,FLORIDA,FL,3
FL-05,FLORIDA,FL,5
FL-06,FLORIDA,FL,6
FL-07,FLORIDA,FL,7
FL-08,FLORIDA,FL,8
FL-09,FLORIDA,FL,9
FL-10,FLORIDA,FL,10
FL-11,FLORIDA,FL,11
FL-12,FLORIDA,FL,12
FL-13,FLORIDA,FL,13
FL-14,FLORIDA,FL,14
FL-16,FLORIDA,FL,16
FL-17,FLORIDA,FL,17
FL-18,FLORIDA,FL,18
FL-19,FLORIDA,FL,19
FL-22,FLORIDA,FL,22
FL-23,FLORIDA,FL,23
FL-26,FLORIDA,FL,26
FL-27,FLORIDA,FL,27
GA-01,GEORGIA,GA,1
GA-02,GEORGIA,GA,2
GA-04,GEORGIA,GA,4
GA-05,GEORGIA,GA,5
GA-06,GEORGIA,GA,6
GA-07,GEORGIA,GA,7
GA-09,GEORGIA,GA,9
GA-11,GEORGIA,GA,11
GA-12,GEORGIA,GA,12
GA-13,GEORGIA,GA,13
GA-14,GEORGIA,GA,14
HI-01,HAWAII,HI,1
HI-02,HAWAII,HI,2
ID-01,IDAHO,ID,1
ID-02,IDAHO,ID,2
IL-01,ILLINOIS,IL,1
IL-02,ILLINOIS,IL,2
IL-03,ILLINOIS,IL,3
IL-04,ILLINOIS,IL,4
IL-05,ILLINOIS,IL,5
IL-06,ILLINOIS,IL,6
IL-07,ILLINOIS,IL,7
IL-08,ILLINOIS,IL,8
IL-09,ILLINOIS,IL,9
IL-10,ILLINOIS,IL,10
IL-11,ILLINOIS,IL,11
IL-12,ILLINOIS,IL,12
IL-13,ILLINOIS,IL,13
IL-14,ILLINOIS,IL,14
IL-15,ILLINOIS,IL,15
IL-16,ILLINOIS,IL,16
IL-17,ILLINOIS,IL,17
IL-18,ILLINOIS,IL,18
IN-01,INDIANA,IN,1
IN-02,INDIANA,IN,2
IN-03,INDIANA,IN,3
IN-04,INDIANA,IN,4
IN-05,INDIANA,IN,5
IN-06,INDIANA,IN,6
IN-07,INDIANA,IN,7
IN-08,INDIANA,IN,8
IN-09,INDIANA,IN,9
IA-01,IOWA,IA,1
IA-02,IOWA,IA,2
IA-03,IOWA,IA,3
IA-04,IOWA,IA,4
KS-02,KANSAS,KS,2
KS-04,KANSAS,KS,4
KY-01,KENTUCKY,KY,1
KY-02,KENTUCKY,KY,2
KY-03,KENTUCKY,KY,3
KY-04,KENTUCKY,KY,4
KY-05,KENTUCKY,KY,5
KY-06,KENTUCKY,KY,6
LA-01,LOUISIANA,LA,1
LA-02,LOUISIANA,LA,2
LA-03,LOUISIANA,LA,3
ME-01,MAINE,ME,1
ME-02,MAINE,ME,2
MD-01,MARYLAND,MD,1
MD-02,MARYLAND,MD,2
MD-03,MARYLAND,MD,3
MD-04,MARYLAND,MD,4
MD-05,MARYLAND,MD,5
MD-06,MARYLAND,MD,6
MD-07,MARYLAND,MD,7
MD-08,MARYLAND,MD,8
MA-03,MASSACHUSETTS,MA,3
MA-04,MASSACHUSETTS,MA,4
MA-05,MASSACHUSETTS,MA,5
MA-06,MASSACHUSETTS,MA,6
MA-08,MASSACHUSETTS,MA,8
MA-09,MASSACHUSETTS,MA,9
MI-01,MICHIGAN,MI,1
MI-02,MICHIGAN,MI,2
MI-03,MICHIGAN,MI,3
MI-04,MICHIGAN,MI,4
MI-05,MICHIGAN,MI,5
MI-06,MICHIGAN,MI,6
MI-07,MICHIGAN,MI,7
MI-08,MICHIGAN,MI,8
MI-09,MICHIGAN,MI,9
MI-10,MICHIGAN,MI,10
MI-11,MICHIGAN,MI,11
MI-12,MICHIGAN,MI,12
MI-13,MICHIGAN,MI,13
MI-14,MICHIGAN,MI,14
